id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365
119063,Cheery Yellow Beach House,601369,Yellow Beach House,Pacific Beach,32.7975735,-117.247404,Entire home/apt,178,3,16,174
126344,3Br House 2 Blocks to Beach Pets Ok,546519,Juliana,Pacific Beach,32.80571602,-117.2593591,Entire home/apt,221,2,124,237
132966,Water View Studio in Pacific Beach!,555739,Rosana,Pacific Beach,32.80854653,-117.2583967,Entire home/apt,70,30,18,193
141523,"Private spot, 2 blocks to dog beach!  Walk to all!",686496,Matt And Toni,Ocean Beach,32.75067748,-117.2465381,Entire home/apt,115,2,291,42
149548,Mission Bay Getaway - Near beaches!,721326,Olivia,Bay Park,32.80156526,-117.200929,Private room,49,3,154,157
161818,Mission Hills Lovely Home on a Quiet Canyon,773869,Steve And Kyle(She'S A Girl),Midtown,32.74182517,-117.1787466,Private room,79,28,50,344
165967,MIKE'S PLACE - A PRIVATE  COTTAGE,790976,Mike,West University Heights,32.75173354,-117.152838,Entire home/apt,125,2,452,226
166787,Bay View Studio Condo in La Playa,731698,Karen,Wooded Area,32.71907571,-117.2307104,Entire home/apt,75,30,103,90
167022,Room and bath in home near beach.,795905,Franz,Mission Bay,32.79486891,-117.2343339,Private room,55,2,156,0
167760,Traveler's Haven - Central to all!,799669,Mary,Mira Mesa,32.91103543,-117.1301994,Private room,50,4,66,344
167804,"Mission Bay Retreat Studio, Near Beaches, La Jolla",721326,Olivia,Bay Park,32.80040961,-117.201517,Private room,49,3,37,169
168415,Artist Retreat Travel Twin room- pool home,766039,Pamela,Bird Land,32.7824832,-117.1594248,Private room,65,4,56,86
170421,Traveler's Haven 2 - Central to all,799669,Mary,Mira Mesa,32.91122712,-117.1309909,Private room,50,4,51,269
171212,Entire 3BR Condo Beautiful Del Mar!,816767,Kayvon,Carmel Valley,32.94662856,-117.2324378,Entire home/apt,180,30,19,195
174015,Beach Hide Out,831158,Özlem,Mission Bay,32.78332899,-117.2526207,Entire home/apt,145,1,353,323
175119,"Private bed&bath, All Welcome",836963,Kevin,Talmadge,32.76492681,-117.0881467,Private room,71,1,93,255
176588,Mission Bay Cottage - SAN DIEGO,2139569,Doug,Moreno Mission,32.77245599,-117.2023322,Entire home/apt,89,3,132,332
179884,Mission Beach Contemporary Home,753381,Denise,Mission Bay,32.77528021,-117.2527375,Entire home/apt,390,3,65,339
181283,Tropical Ambiance 3 min to Town #3,861297,Ron,Balboa Park,32.7163816,-117.1381139,Entire home/apt,99,2,30,313
182504,Sunny San Diego Home *5 Stars!*,874971,Stella,Midtown,32.74281596,-117.1666272,Entire home/apt,175,3,201,83
184238,"Ocean Beach, garage parking, hot tub, Ocean VIEWS!",883704,Scott,Loma Portal,32.74097711,-117.2447102,Entire home/apt,155,2,214,286
189785,Beach block ocean view in North PB!,915738,Jeff,La Jolla,32.81014539,-117.2680412,Private room,95,5,25,165
190179,Bohemian Beach House,831158,Özlem,Mission Bay,32.78248225,-117.2516862,Entire home/apt,215,2,125,358
190225,Charming La Jolla Home with pool/spa; sleeps 14,918513,Paige,La Jolla,32.84060919,-117.2690162,Entire home/apt,495,3,93,164
193334,"Minutes to the beach, SeaWorld, Zoo",937246,Mark,Kearny Mesa,32.83642558,-117.1688955,Private room,38,3,188,74
204211,Fabulous San Diego Home by La Jolla,1002692,Ethan,University City,32.85359036,-117.2134994,Entire home/apt,525,7,20,111
204718,Friendly Clean Room/Mission Bay,1005583,Tanja,Bay Park,32.7847785,-117.2059085,Private room,59,1,677,326
205703,"BEST LOCATION, BEST PRICE IN S.D.",874159,Filbert,Midtown,32.74631637,-117.1507684,Entire home/apt,80,3,272,75
211583,"The Happy Little Cottage, South Mission Beach",1090651,J-Me & Clark,Mission Bay,32.76735008,-117.2492793,Entire home/apt,165,3,96,109
213653,BEAUTIFUL OCEAN VIEW & TORREY PINES SERENITY,660996,Kathy,Torrey Pines,32.92590399,-117.2495894,Entire home/apt,500,4,23,161
227691,GORGEOUS 2B/2B IN LITTLE ITALY!!,28107,Lindsay,Little Italy,32.72177029,-117.169155,Entire home/apt,330,3,43,174
241210,Room for rent in North Park Home near DT San Diego,1265742,Deborah,North Hills,32.75734337,-117.1366868,Private room,60,1,62,161
244653,PRIVATE ROOM + BATHROOM + BREAKFAST,1152915,Leticia,Mountain View,32.69742624,-117.1060222,Private room,50,2,27,361
246264,Central San Diego At Your Doorstep One Bedroom,1291828,Tomio,Linda Vista,32.79432107,-117.1745199,Entire home/apt,89,31,57,347
252289,Private oasis w/ jacuzzi -3bedrooms,861840,Catherine,Old Town,32.75295819,-117.1775781,Entire home/apt,135,2,201,336
256585,San Diego Balboa Park Guest Room,1349966,Dana,Park West,32.72783857,-117.161024,Private room,80,2,96,349
269843,Artist retreat Twin Corner bedroom - pool home,766039,Pamela,Bird Land,32.78127103,-117.160123,Private room,75,3,75,86
272822,★70s VIBE★HUGE UNIQUE WOOD-PANELED ROOM with PATIO,1427811,Angela,Darnall,32.75040663,-117.0661338,Private room,59,1,33,14
273134,Artist retreat Master bedroom/bath - pool home,766039,Pamela,Bird Land,32.78133227,-117.1607229,Private room,85,4,49,67
278138,Comfy Room Close to Everything !!,1451910,Mike And Carolina,Scripps Ranch,32.90837752,-117.0898082,Private room,65,2,77,364
278158,Comfy & Cozy Room for Travelers,1451910,Mike And Carolina,Scripps Ranch,32.90678431,-117.087322,Private room,65,2,33,364
279012,Tropical Home Near Beach w/ Hot Tub,1451027,Rebecca,Ocean Beach,32.73377606,-117.244503,Entire home/apt,235,5,18,283
281817,Private & Quiet Detached Cottage. No A/C,1468925,Sam,South Park,32.7285689,-117.1228189,Entire home/apt,95,2,178,344
289088,"Quiet studio: King bed, AC, Washer",1501859,Belinda,Midtown,32.74244671,-117.1754686,Entire home/apt,85,2,140,89
292285,Sleek & Modern OB Condo 2+2 BCH,466847,Heather,Loma Portal,32.74916587,-117.2312651,Entire home/apt,85,7,38,171
293609,Stunning Home -Indoor/Outdoor Style,1502676,Aaron,West University Heights,32.75984826,-117.1435426,Entire home/apt,149,2,194,295
299720,Bankers Hill Studio by Balboa Park,384706,Dhiraj,Midtown,32.73456668,-117.1642984,Entire home/apt,142,28,32,336
308508,Private Beach Cottage with Bikes!,1586671,David,Ocean Beach,32.75368634,-117.2500707,Entire home/apt,130,3,71,109
311052,Historic Kensington Craftsman Charm,1192708,Jennifer,Kensington,32.76133291,-117.1045475,Private room,80,1,338,323
331892,In the heart of San Diego and UCSD Medical Center,1689428,Gene,Old Town,32.75002441,-117.1662782,Private room,65,2,71,333
334730,Craftsman Cottage in Mission Hillls,1288792,Celia,Old Town,32.75124404,-117.1834725,Entire home/apt,99,2,213,226
343495,Private & Cozy Bohemian OB Cottage,1012168,Chuck & Helen,Ocean Beach,32.75181617,-117.2450162,Entire home/apt,110,2,281,112
346722,Balboa Park / Zoo Apartment,1757737,Frank,Park West,32.72846999,-117.1610783,Entire home/apt,165,2,182,19
359838,Tropical 3 min Convention Center #2,861297,Ron,Balboa Park,32.71708188,-117.1393431,Entire home/apt,99,2,20,293
359971,Hillcrest - (close to Zoo & Park),1821106,Marcela,West University Heights,32.75741842,-117.147889,Entire home/apt,86,5,77,320
366811,Private Floor to yourselves + Spa!,1852011,Brian,Clairemont Mesa,32.81757652,-117.1684527,Entire home/apt,90,2,231,72
385343,Charming Beach Retreat,1011433,Vicky,Ocean Beach,32.7543266,-117.2476956,Entire home/apt,139,3,19,0
385760,"Super location, quiet neighborhood",1486293,Ann,Loma Portal,32.7571885,-117.2275492,Private room,50,30,77,263
392534,San Diego Bankers Hill Guest Room,1349966,Dana,Park West,32.72778785,-117.1594232,Private room,75,1,24,264
394524,Private Studio next to the beach,1972369,Edward,Pacific Beach,32.8014322,-117.2572461,Entire home/apt,127,1,69,349
395071,Mission Beach meets Mission Bay,1974643,Debbie,Mission Bay,32.7893664,-117.2550898,Entire home/apt,235,1,56,214
396390,Independent room in the back garden,1980775,Shirley,Midtown,32.7449402,-117.1741238,Entire home/apt,70,2,84,348
401431,Charming Ocean Beach cottage,2003694,Edwin,Ocean Beach,32.7512719,-117.2488971,Entire home/apt,125,3,33,162
409683,The La Jolla Beach Cottage,1144421,Patrick + Lani,La Jolla,32.83918523,-117.2777627,Entire home/apt,264,2,200,330
410726,Wonderful La Jolla Beach Retreat!,2044776,Mauricio,La Jolla,32.83449764,-117.2756682,Entire home/apt,250,3,140,277
413705,San Diego HOME  Beautiful --EAST -Bdrm,2058261,Chelo,Bay Park,32.77925253,-117.2054312,Private room,47,6,84,8
426121,Charming & Centrally Located Apt,2118023,Tricia,Midtown,32.74257934,-117.1778414,Entire home/apt,109,1,104,333
438786,1925 Hillcrest Craftsman with Private Sun Deck,2165667,Camila,North Hills,32.74946806,-117.1434337,Entire home/apt,85,1,301,272
443994,Serene San Diego Canyon Getaway,2205580,Al,Clairemont Mesa,32.80277742,-117.1896034,Entire home/apt,110,3,136,42
447765,La Jolla Vacation Rental.  TOT607481,2223419,Jenny,La Jolla,32.85042017,-117.2531044,Entire home/apt,362,3,42,340
460007,Historic Victorian Charm Downtown (Carriage House),2456675,Amy,Cortez Hill,32.72029777,-117.1632684,Entire home/apt,120,2,200,31
460016,Victorian Charmer Downtown #222 (upstairs),2456675,Amy,Cortez Hill,32.72018608,-117.1630037,Entire home/apt,165,2,274,24
466663,Walk to bay/downtwn  park BLUE ROOM,2315442,Michael,Park West,32.72661611,-117.1659901,Private room,49,1,484,36
467573,Condo in San Diego near downtown,2321070,Elise,Midtown,32.74918772,-117.1530954,Private room,50,30,115,99
468475,Garden Cottage blocks to bay/dwntwn,2315442,Michael,Park West,32.72660218,-117.1637625,Private room,49,1,406,43
470519,Walk To All Bay/Park/Zoo/Gaslamp/Convention/Loft,2315442,Michael,Park West,32.72795039,-117.1639241,Private room,39,1,392,52
470520,Outdoor shower walk to all Greenrom,2315442,Michael,Park West,32.72728435,-117.1644139,Private room,49,1,461,52
472433,Beachfront La Jolla Home - Sunsets!,2342941,John,La Jolla,32.82862332,-117.2800774,Entire home/apt,650,3,22,325
473679,Studio in the Heart of South Park!,2325333,Julie,South Park,32.72005623,-117.1275242,Entire home/apt,69,2,309,328
479322,The Hipster,2253314,Rene,Grant Hill,32.71009213,-117.1445148,Entire home/apt,135,2,402,110
482741,1 BR in Charming 2 BR Apt University Heights,1809198,Raman,West University Heights,32.75792563,-117.1480532,Private room,35,90,16,365
483463,Urban San Diego Cottage with Garden,2393291,Tricia,Normal Heights,32.75697252,-117.1210055,Entire home/apt,137,3,134,230
483688,Quaint cottage near USD/Old Town and trolley line,2385909,James,Moreno Mission,32.76516386,-117.1897304,Entire home/apt,126,2,136,324
495832,Perfect Pacific Beach Bungalow!,2448935,Ganesa,Pacific Beach,32.80426702,-117.2433454,Entire home/apt,139,2,193,13
497584,Lavishly Restored 2 bedroom #218,2456675,Amy,Cortez Hill,32.72011493,-117.163642,Entire home/apt,170,2,275,22
500915,Craftsman in hip area near downtown,2471170,Matthew,South Park,32.72858398,-117.1268858,Entire home/apt,199,3,35,69
501019,Featured on the Tiny House Hunters Show!,2472050,Susanne,Old Town,32.75294102,-117.1800264,Entire home/apt,189,3,17,280
506774,Cozy Backyard Cottage in South Park,2498685,Joy,South Park,32.71993986,-117.1286525,Entire home/apt,89,2,248,180
507903,La Jolla Skylark Entertainer,2503251,Laura And The Co-Host Team,La Jolla,32.81759224,-117.2612329,Entire home/apt,120,1,196,355
519849,New Eco Luxury Guest House,2558457,Kristen,Mission Bay,32.79123476,-117.235574,Entire home/apt,200,3,68,350
519919,1920s bungalow 2 blocks to dog beach! Walk to all!,686496,Matt And Toni,Ocean Beach,32.7516683,-117.2470942,Entire home/apt,179,2,188,40
522108,Charming Craftsman in South Park,2498685,Joy,South Park,32.71904627,-117.12827,Entire home/apt,225,2,33,296
528113,"Stylish Modern Condo, Stunning Views",2594906,Wendy,Midtown,32.73628695,-117.1615227,Entire home/apt,83,30,21,115
531406,Extreme home stay in La Jolla!,2608408,Cooleen & Ted,La Jolla,32.83253454,-117.2590945,Private room,130,2,70,318
561997,"ENCHANTING SANCTUARY, CENTRAL TO ALL",2740315,Beverlee,Bay Park,32.80756325,-117.1968216,Entire home/apt,199,3,92,365
571552,2bd/2ba PENTHOUSE in a Cloud,2813298,David,East Village,32.71088711,-117.1544563,Entire home/apt,295,2,22,0
571822,La Jolla Kid Friendly Beach House,470998,Miriam,La Jolla,32.81549337,-117.2637755,Entire home/apt,450,1,104,267
576112,Soulful Studio 2 Blocks to Beach,2833833,Ryder & Michelle,Pacific Beach,32.80431899,-117.2533149,Entire home/apt,125,1,407,67
585426,4 Br House Normal Heights San Diego,2885527,Linda,Normal Heights,32.76516965,-117.1263451,Entire home/apt,200,4,77,138
585469,Aunt Chris' San Diego Getaway,2886419,Christine,South Park,32.728496,-117.1242507,Entire home/apt,70,1,388,276
587443,Great RV/nearMISSION BAY/ FREE WIFI,1005583,Tanja,Moreno Mission,32.77267885,-117.2034839,Entire home/apt,48,1,460,270
589214,MOST POPULAR LISTING WALK TO BAY DOWNTOWN PARK/ZOO,2315442,Michael,Park West,32.72659872,-117.1657061,Private room,79,1,515,48
589254,SAN DIEGO Hillcrest Queen Bed Private Bathroom,1117966,John,Midtown,32.74240104,-117.1634615,Private room,59,2,141,58
591575,Luxury Condo with Ocean Views,2919820,Karl,La Jolla,32.82935164,-117.2787849,Entire home/apt,365,3,24,256
597609,Vista Del Mar Two,2919820,Karl,La Jolla,32.82763149,-117.2786238,Entire home/apt,365,3,18,215
602985,Quaint Historic Beach House,6627782,Sarah,Ocean Beach,32.74541128,-117.2493932,Entire home/apt,197,3,138,341
604169,"BOAT, BED & BREAKFAST - ""SLIPAWAY"" - 45'  Ketch",2990799,Shaun,Midtown District,32.71833128,-117.2213677,Entire home/apt,255,2,15,82
611250,Walk to bay downtownn Priv 1/2 bath,2315442,Michael,Park West,32.72726881,-117.1661149,Private room,45,1,328,68
616718,Priv Bath Walk to Bay/downotwn/park,2315442,Michael,Park West,32.72830791,-117.1656387,Private room,49,1,467,49
631271,Downtown San Diego Loft,1121416,Andre,East Village,32.71553287,-117.1531077,Entire home/apt,126,30,96,124
635756,Modern San Diego Condo with Views!,2414872,Laura,East Village,32.70894176,-117.1561795,Entire home/apt,67,30,16,323
641013,BednBike with en-suite bathroom.,3201412,David And Briana,Balboa Park,32.71668082,-117.1470432,Private room,44,2,184,54
642164,"Safe, Walkable, Historic Neighborhood",3209013,Morgan,Kensington,32.76642391,-117.1054897,Entire home/apt,300,4,27,280
651542,Spanish Revival Home with a View,3006274,Kathryn,Midtown,32.74478972,-117.1755919,Entire home/apt,175,3,129,216
654249,Charming Artist's Condo in La Jolla,3290999,Mark With Penelope,La Jolla Village,32.85968165,-117.2351357,Entire home/apt,84,21,24,243
657051,Hot Tub-Studio-EZ Parking- blocks to San Diego Zoo,3310631,Rosemary,South Park,32.72286548,-117.1247163,Entire home/apt,89,1,103,278
657126,"Steps to la jolla cove, walk to all",3292394,Katie,La Jolla,32.84587523,-117.2705784,Private room,155,2,49,360
659076,Shared Eco Lodging @ Premium Hostel,3324885,Bobby,Cortez Hill,32.72173503,-117.1642402,Private room,34,1,126,1
670165,Good vibes near the beach at private OB home,3395315,Tyler & Rebecca,Loma Portal,32.74588002,-117.2431944,Entire home/apt,85,2,130,84
670830,"Walk to bay/dwntwn/parkZoo, parking free/Lavender",2315442,Michael,Park West,32.72703535,-117.1642449,Private room,49,1,391,64
671606,New Beach Home Private Entry/Suite Walk to It All!,1660976,Colby & Stephanie,La Jolla,32.81062918,-117.2535357,Entire home/apt,75,2,101,74
678569,"Walk to all, Village step to beach",3292394,Katie,La Jolla,32.84543036,-117.269904,Private room,165,2,79,360
689378,"Remodeled! Ideal location, Great reviews! SC3",2598433,Ryan,Mission Bay,32.77192176,-117.2507125,Entire home/apt,115,1,107,292
691897,"BOAT, BED & BREAKFAST - ""SELL SELL SELL"" - 46'",2990799,Shaun,Midtown District,32.71869708,-117.2207775,Entire home/apt,300,2,15,87
702744,*Amazing Views/Pool/Quiet/Walk UCSD,4139742,Maria Laura,La Jolla Village,32.86328725,-117.2352543,Private room,70,1,66,111
705866,Romantic getaway  La jolla village,3292394,Katie,La Jolla,32.84506292,-117.2702535,Private room,175,2,41,360
706493,AMAZING CANYON VIEWS 1-story & Hot Tub & BILLIARDS,3630950,Adam,Allied Gardens,32.81923588,-117.0800726,Entire home/apt,180,14,29,284
723387,Perfect PB Spring/Summer Getaway!,3736562,Renee,Pacific Beach,32.79352656,-117.2437854,Entire home/apt,125,1,56,350
726663,"City cottage living, organic fruit trees",10143,Hillary,Memorial,32.70190879,-117.1299391,Entire home/apt,82,2,71,4
735793,Private Room+Bath OCEAN VIEW HOUSE,3739150,Bruce And Tracy,Pacific Beach,32.80973513,-117.2511359,Private room,80,1,105,0
741131,One Bedroom Ocean View San Diego Central EZ Park,1291828,Tomio,Linda Vista,32.79485181,-117.1729935,Entire home/apt,89,7,56,308
741132,Linda Vista Quiet Retreat Sleeps Four,1291828,Tomio,Linda Vista,32.78961755,-117.1730656,Entire home/apt,115,31,35,355
741133,Linda Vista Ocean View Sleeps Four,1291828,Tomio,Linda Vista,32.7905472,-117.1744416,Entire home/apt,135,31,20,317
743453,"Quiet, relaxing, big & private room",3894707,Pamela,Clairemont Mesa,32.80877815,-117.1856346,Private room,55,4,291,109
746233,Tropical Garden 3/min to Town#1,861297,Ron,Balboa Park,32.71605682,-117.1399882,Entire home/apt,99,2,55,299
747354,Quiet Canyon Retreat in heart of SD,3857763,Christine,Old Town,32.75491433,-117.171067,Entire home/apt,275,3,32,120
749856,"Large, Sunny EnSuite Point Loma Room Near Beaches",3941511,Meg,Loma Portal,32.75272675,-117.2227821,Private room,66,4,79,18
752725,Vintage 1928 Craftsman Cottage outdoor living & AC,1028287,Rick,North Hills,32.74472781,-117.1399369,Entire home/apt,126,2,34,156
756704,Cozy Tropical Retreat in Hillcrest,3983581,Michele,Midtown,32.74373225,-117.1648554,Entire home/apt,175,5,51,264
756810,Ocean retreat in Point Loma,3964809,Betsy & Stan,Wooded Area,32.72538323,-117.2512882,Private room,89,2,76,50
756856,Sunset Cliffs Retreat Pt Loma,3964809,Betsy & Stan,Wooded Area,32.72746796,-117.2497188,Private room,94,2,65,283
756982,Perfect Spanish La Jolla Cottage...,3985912,Andrew,La Jolla,32.84096568,-117.2701397,Entire home/apt,184,1,215,280
765407,Cute Ocean Beach 2 Bedroom House!,4035606,Liz,Loma Portal,32.74823754,-117.2401544,Entire home/apt,185,2,91,274
766826,Bungalow by the Bay Sunsets & Sails,4043519,Terri,Mission Bay,32.77975831,-117.2372336,Entire home/apt,300,3,53,251
768093,"family friendly, close to the beach",302986,Isabel,Pacific Beach,32.8072972,-117.2418131,Entire home/apt,249,3,27,119
768184,Awesome Master Cabin on 70' yacht: Pacific cabin,4052468,Blue Water,Midtown District,32.72489965,-117.2064452,Private room,149,2,20,350
768310,Bright Spacious Bed Room,2516346,Ze,City Heights East,32.74550913,-117.0836775,Private room,38,3,151,321
776603,charming cottage by la jolla cove,3292394,Katie,La Jolla,32.84538239,-117.2689101,Entire home/apt,185,2,84,356
778962,"1 of a Kind!  North Park, Hillcrest",1502676,Aaron,North Hills,32.75163176,-117.1425446,Entire home/apt,109,2,224,344
789829,"A&C's Hillcrest, Heart of San Diego",4161886,Austin,West University Heights,32.75297927,-117.1498045,Private room,200,2,41,365
794154,Great Space Sunny San Diego!,3232345,Abdul,University City,32.86539204,-117.2207247,Entire home/apt,299,7,110,299
797668,Mission Beach Paradise. Beach & Bay,4200720,Mark,Mission Bay,32.76046005,-117.2485843,Entire home/apt,199,2,166,318
799579,"Point Loma/La Playa ""On The Point""-Private 1/1",2568993,Julia,Wooded Area,32.70906775,-117.2397231,Entire home/apt,95,2,32,29
802029,Room with Private Bath Near Convention Center,3511580,Kaitlyn,East Village,32.70996163,-117.1543541,Private room,54,1,267,26
804571,Bright Spacious Bedroom2,2516346,Ze,City Heights East,32.736147,-117.0868178,Private room,52,1,31,193
807383,"Vibrant Retreat-1 block to Urban Hub, private bath",1464984,Linda,Normal Heights,32.76469767,-117.1224957,Private room,52,2,125,18
815244,MasterBedroom in cottage near beach,795905,Franz,Mission Bay,32.79472853,-117.2331078,Private room,75,2,46,0
816942,"Great Location, Affordable & Fun!",3969352,Aaron & Jenny,Grantville,32.78609932,-117.1066369,Entire home/apt,125,30,84,214
817278,Western Inn San Diego/Old Town,4250768,Katia,Old Town,32.74864885,-117.1947018,Private room,89,1,37,362
821576,"Surf, sand, comfort & great price! ",129123,Michael,Pacific Beach,32.8074892,-117.2565016,Entire home/apt,195,3,18,314
821991,Early 1900's Carriage House w/Views,4316337,Brook & Justin,North Hills,32.74428531,-117.1314884,Entire home/apt,99,2,298,287
831012,Private Ocean View Deck ☆ 2 Homes from Ocean,3017970,Surf Style,Pacific Beach,32.80152647,-117.259191,Entire home/apt,195,3,55,272
834215,Windansea Beach House,2677773,David And Ana & Mikael,La Jolla,32.83306036,-117.2754722,Private room,109,2,367,24
853488,A Nice Cozy Room in Fun Family Home,4456805,Hawk,Mira Mesa,32.92114114,-117.146848,Private room,39,31,28,282
866202,Bright and cozy room in PB,4545618,Lior & Tami,Pacific Beach,32.79456313,-117.2476459,Private room,55,3,124,197
871102,Great 550sq 1 Bedroom Fully Equip,4592405,Nicholas,College Area,32.76144134,-117.079271,Entire home/apt,99,2,63,365
873742,Welcoming Bungalow close to it all!,4371822,Heather & Mike,South Park,32.72445971,-117.1278124,Entire home/apt,119,2,382,197
877473,Private Bedroom in Newer Home,4636507,Cristina,Eastlake Vistas,32.63828494,-116.9393726,Private room,80,2,35,364
887573,Cozy Room in Pacifc Beach,4706066,Dragos,Mission Bay,32.79171292,-117.2338914,Private room,49,2,59,333
889895,"San Diego, La Jolla Beach",4721806,Keith,La Jolla,32.8306619,-117.2741597,Entire home/apt,350,3,41,0
895236,Dreamy Pacific Beach Vacation Condo,5254756,Tali,Pacific Beach,32.80156934,-117.2361613,Entire home/apt,89,3,24,365
896439,Historic Gallagher Home (1),4779887,John,Midtown,32.74239291,-117.1638021,Private room,90,1,120,1
908300,Modern Charm Near Downtown - 1 BR,3102978,John,Grant Hill,32.70763736,-117.1426059,Entire home/apt,90,3,107,153
909007,"Private Master Suite, Front (6236)",3677994,Drew,Linda Vista,32.78619577,-117.1793083,Private room,49,2,40,0
909782,2BD Swift Ave Urban Secret Gardens,4879269,Charles,City Heights West,32.75027875,-117.1191347,Entire home/apt,150,2,15,194
914317,Amazing Cottage at the Beach in OB!,4374657,Joanie,Ocean Beach,32.75077998,-117.2505298,Entire home/apt,130,2,373,93
918743,PRIVATE BATHROOM! COZY & QUIET  :),4934787,Kr,College Area,32.76498882,-117.0804079,Private room,55,3,95,279
919528,Ocean View La Jolla Mid-Century Modern near Beach,1157814,David,La Jolla,32.84995239,-117.2610121,Entire home/apt,699,3,72,267
925146,Windansea 2bd; check calendar for special $,2409798,Terry,La Jolla,32.82694238,-117.2785757,Entire home/apt,400,2,140,150
925170,$100-150 night--Windansea #3,2409798,Terry,La Jolla,32.82853058,-117.2769959,Entire home/apt,150,2,212,152
931686,2 Homes to Beach ★ Exclusive Backyard ★ 1 Level,3017970,Surf Style,Pacific Beach,32.80106302,-117.2563452,Entire home/apt,295,3,34,335
933873,"Private Master Suite, Center (6236)",3677994,Drew,Linda Vista,32.78930444,-117.1810507,Private room,49,2,35,134
937720,"Charming, lovely home in San Diego",5062900,Susanna,Balboa Park,32.72949882,-117.1323572,Entire home/apt,151,2,18,362
943834,Family-friendly home in North Park,5107400,Heather,North Hills,32.75544668,-117.1312864,Entire home/apt,209,3,25,98
960185,Cozy Private Room @ Eclectic Hostel,3324885,Bobby,Little Italy,32.72375344,-117.1658432,Private room,45,1,28,0
960200,4 Bed Mixed Dorm @ Little Italy Hostel,3324885,Bobby,Cortez Hill,32.7238579,-117.1653626,Shared room,34,1,21,226
960211,Comfy Two Bed Dorm at Fun Hostel!,3324885,Bobby,Little Italy,32.72320235,-117.1659908,Shared room,29,1,27,200
973850,2 br 2 ba WindanSea Beach Private Cottage sleeps 6,5325745,Roland,La Jolla,32.83012188,-117.2730172,Entire home/apt,235,3,29,184
990676,South Park Comfy Cottage,3416224,Irma,North Hills,32.73360212,-117.1164106,Entire home/apt,95,3,16,354
992004,49 Steps to the Sand!   Yes ... 49!,22476,99 Steps,Mission Bay,32.785822,-117.2542633,Entire home/apt,182,3,64,133
992009,49 STEPS 2 - THE HEART of MISSION BEACH,22476,99 Steps,Mission Bay,32.78553032,-117.2544814,Entire home/apt,175,3,68,3
998231,Gorgeous Convenient San Diego Home,2527764,Kathy,Linda Vista,32.78174923,-117.1822134,Entire home/apt,160,28,95,291
1001069,"Little Italy, 22nd Floor,  Views",5424014,Michael,Little Italy,32.7205704,-117.1672085,Entire home/apt,170,30,20,358
1003952,CUTE 1 Bdrm COTTAGE  - HILLCREST,5521578,Linda,North Hills,32.75076736,-117.145563,Entire home/apt,118,2,23,251
1004251,Artsy Vintage Cottage North Park,732784,Kathleen,North Hills,32.75768718,-117.1282067,Entire home/apt,60,5,18,332
1008877,Affordable Del Mar Back Cottage,5549151,Victoria Wolfe/ Property Agent,Del Mar Heights,32.94700654,-117.2594894,Entire home/apt,115,3,81,266
1018352,Room & Bath in SD:  Great Location!,5605266,Dave,Clairemont Mesa,32.8082217,-117.1854646,Private room,75,2,45,162
1022379,Quiet Tropical Oasis Close to All,5628735,Andrea And Cameron,Roseville,32.73447791,-117.2291376,Entire home/apt,299,2,66,325
1030335,4 Bed Female Dorm @ Top Rated Hostel in San Diego!,3324885,Bobby,Midtown,32.74543443,-117.1592639,Shared room,36,1,38,79
